Zonen-Name,X-Position,Y-Position,Breite,Höhe,Risiko-Level,Erforderliche-PSA,Zugangs-Beschränkung
Kranbereich Nord,10,10,20,20,hoch,"Helm|Sicherheitsschuhe|Warnweste",Kranführerschein
Gerüstzone Süd,50,5,15,10,mittel,"Helm|Sicherheitsschuhe|Auffanggurt",Gerüstbau-Schulung
Lagerplatz Ost,70,30,10,15,niedrig,"Helm|Sicherheitsschuhe|Warnweste",Keine
Zufahrtsbereich,0,35,8,15,niedrig,"Warnweste",Keine
Betonmischer-Zone,25,45,12,12,mittel,"Helm|Sicherheitsschuhe|Gehörschutz",Einweisung-Betonmischer
Elektro-Verteilerschrank,85,10,5,5,hoch,"Helm|Isolierte-Handschuhe|Elektrikerschuhe",Elektrofachkraft
Pausenraum,90,25,8,6,niedrig,Keine,Keine
Erste-Hilfe-Station,92,32,4,4,sicher,Keine,Keine
Gefahrstofflager,15,65,10,8,sehr-hoch,"Helm|Chemikalienschutz|Atemschutz",Gefahrstoff-Schulung
Abbruchbereich West,5,50,18,20,sehr-hoch,"Helm|Sicherheitsschuhe|Auffanggurt|Atemschutz",Abbruch-Qualifikation
